open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-02 17:00:00,,4331.57,4288.21,4319.36,14733.8246,63504376.022433,171231,8732.1952,37645787.304824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2025-09-02 18:00:00,4319.36,4322.8,4267.18,4296.73,24140.9878,103596794.069415,200653,9723.5125,41728831.931086,0.0,0.0,0.0,0.0,-0.005239202104015406,0.0,0.0,0.0,0.0,0.0,0.0,-0.08419299653996859,-0.0007759723183407243,-0.08341702422162786,0.0,0.0,False
2025-09-02 19:00:00,4296.73,4314.28,4257.85,4274.41,19809.3161,84785962.498628,172376,9021.5318,38602716.307141,0.0,0.0,0.0,0.0,-0.0051946480230313785,0.0,0.0,0.0,0.0,0.0,0.0,-0.2505735928152717,-0.0030782545349023003,-0.2474953382803694,0.0,0.0,True
2025-09-02 20:00:00,4274.41,4327.93,4266.31,4313.12,18583.3817,79958711.998512,151510,10185.8797,43818923.454717,0.0,0.0,0.0,0.0,0.009056220624600764,0.0,0.0,0.0,0.0,0.0,0.0,-0.2712512105335918,-0.0055498946823556595,-0.26570131585123613,0.0,0.0,True
2025-09-02 21:00:00,4313.12,4335.66,4305.18,4328.69,11645.3512,50323755.366851,79914,6768.5241,29253139.242232,0.0,0.0,0.0,0.0,0.003609915791816576,0.0,0.0,0.0,0.0,0.0,0.0,-0.23378714808859513,-0.007653463838173535,-0.2261336842504216,0.0,0.0,True
2025-09-02 22:00:00,4328.69,4333.42,4309.11,4329.2,14060.8292,60772891.72961,100766,7874.3121,34029951.694573,0.0,0.0,0.0,0.0,0.00011781855480541559,0.0,0.0,0.0,0.0,0.0,0.0,-0.19479881879851746,-0.009378305819374861,-0.1854205129791426,0.0,0.0,False
2025-09-02 23:00:00,4329.2,4337.4,4314.15,4326.5,11557.0708,49972653.246767,77522,6335.6045,27395465.95298,0.0,0.0,0.0,0.0,-0.0006236718100341987,0.0,0.0,0.0,0.0,0.0,0.0,-0.16624501140449865,-0.010824081907717015,-0.15542092949678163,0.0,0.0,False
2025-09-03 00:00:00,4326.5,4332.2,4304.34,4310.26,15037.5649,64945425.909978,134281,8158.4208,35234379.90512,0.0,0.0,0.0,0.0,-0.0037536114642320317,0.0,0.0,0.0,0.0,0.0,0.0,-0.19839540976590797,-0.012552849906410021,-0.18584255985949794,0.0,0.0,True
2025-09-03 01:00:00,4310.26,4325.46,4283.23,4325.05,14651.5454,62967492.282004,144953,7160.7104,30788316.427468,0.0,0.0,0.0,0.0,0.0034313475289193818,0.0,0.0,0.0,0.0,0.0,0.0,-0.17519181001989637,-0.01405182649731773,-0.16113998352257863,0.0,0.0,True
2025-09-03 02:00:00,4325.05,4355.37,4312.6,4338.3,19796.7265,85915746.531096,208123,11347.1687,49248047.117541,0.0,0.0,0.0,0.0,0.003063548398284377,0.0,0.0,0.0,0.0,0.0,0.0,-0.10292314507660194,-0.014870916991136018,-0.08805222808546592,0.0,0.0,False
