open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-02 15:00:00,,204.62,199.77,200.3,258265.603,52253419.86214,169232,122422.297,24788349.18618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2025-09-02 16:00:00,200.3,201.99,199.48,201.47,166726.542,33476396.5853,141916,96702.457,19417497.82204,0.0,0.0,0.0,0.0,0.0058412381427856985,0.0,0.0,0.0,0.0,0.0,0.0,0.004352885813148077,4.011876325482099e-05,0.0043127670498932565,0.0,0.0,True
2025-09-02 17:00:00,201.47,205.36,201.48,204.8,267813.134,54647258.39275,144743,175922.628,35894058.79324,0.0,0.0,0.0,0.0,0.016528515411723843,0.0,0.0,0.0,0.0,0.0,0.0,0.021050701313384934,0.00023376468537583586,0.020816936628009097,0.0,0.0,True
2025-09-02 18:00:00,204.8,206.52,203.33,205.65,242296.501,49585644.35341,149847,120833.852,24746133.31463,0.0,0.0,0.0,0.0,0.004150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.04074178453248578,0.0006071104904183239,0.040134674042067456,0.0,0.0,False
2025-09-02 19:00:00,205.65,207.0,204.43,205.54,184006.325,37839743.16166,131433,98760.178,20319582.01327,0.0,0.0,0.0,0.0,-0.0005348893751520034,0.0,0.0,0.0,0.0,0.0,0.0,0.059823873963779306,0.0011528871122926188,0.05867098685148669,0.0,0.0,True
2025-09-02 20:00:00,205.54,208.23,204.91,206.73,214074.479,44362152.22192,127446,126298.56,26177493.66686,0.0,0.0,0.0,0.0,0.005789627323148805,0.0,0.0,0.0,0.0,0.0,0.0,0.08313923660409728,0.0019085216698207725,0.0812307149342765,0.0,0.0,True
2025-09-02 21:00:00,206.73,208.0,206.65,207.26,144965.616,30068571.27251,62134,95041.125,19715892.59404,0.0,0.0,0.0,0.0,0.002563730469694825,0.0,0.0,0.0,0.0,0.0,0.0,0.10818913334321678,0.002888066477870505,0.10530106686534628,0.0,0.0,True
2025-09-02 22:00:00,207.26,208.87,206.63,208.66,227035.219,47171626.12056,96424,137405.934,28555287.30125,0.0,0.0,0.0,0.0,0.006754800733378419,0.0,0.0,0.0,0.0,0.0,0.0,0.1381922548951593,0.004135109689089757,0.13405714520606954,0.0,0.0,True
2025-09-02 23:00:00,208.66,209.68,207.96,209.65,268412.043,56074963.63562,113747,157577.115,32919597.34251,0.0,0.0,0.0,0.0,0.004744560529090336,0.0,0.0,0.0,0.0,0.0,0.0,0.17157254758768659,0.005678311881703553,0.16589423570598302,0.0,0.0,False
2025-09-03 00:00:00,209.65,210.47,207.88,208.37,345497.102,72241590.39453,129172,208129.677,43511542.22549,0.0,0.0,0.0,0.0,-0.00610541378487961,0.0,0.0,0.0,0.0,0.0,0.0,0.19984982605703294,0.007467911090692765,0.1923819149663402,0.0,0.0,True
